country,capital,alpha-3,continent,teritory
Pakistan,Islamabad,PAK,Asia,"Islamabad, city, capital of Pakistan, on the Potwar Plateau, 9 miles (14 km) northeast of Rawalpindi, the former interim capital. The city’s site was chosen by a commission in 1959 after Karachi was found unsuitable as the capital. Construction began in 1961 with an effort to blend traditional Islamic architecture with modern patterns and requirements. Such world-renowned names in town planning and architecture as Konstantínos Doxiádes, Edward Durell Stone, and Gio Ponti have been associated with the city’s development. It is a compact city (area 25 square miles [65 square km]), lying at elevations ranging from 1,500 to 2,000 feet (450 to 600 metres). The second phase of construction ended with completion of the Secretariat, Pakistan House, President’s House, National Assembly Building, Grand National Mosque, and housing for government staff. The University of Islamabad was established in 1965 and the People’s Open University (later renamed the Allama Iqbal Open University) in 1974. The war with India in 1971 slowed construction temporarily."
Philippines,Manila,PHL,Asia,"Manila, capital and chief city of the Philippines. The city is the centre of the country’s economic, political, social, and cultural activity. It is located on the island of Luzon and spreads along the eastern shore of Manila Bay at the mouth of the Pasig River. The city’s name, originally Maynilad, is derived from that of the nilad plant, a flowering shrub adapted to marshy conditions, which once grew profusely along the banks of the river; the name was shortened first to Maynila and then to its present form. In 1975, by presidential decree, Manila and its contiguous cities and municipalities were integrated to function as a single administrative region, known as Metropolitan Manila (also called the National Capital Region); the Manila city proper encompasses only a small proportion of that area."
Poland,Warsaw,POL,Europe,"Warsaw, Polish Warszawa, city, capital of Poland. Located in the east-central part of the country, Warsaw is also the capital of Mazowieckie województwo (province). Warsaw is notable among Europe’s capital cities not for its size, its age, or its beauty but for its indestructibility. It is a phoenix that has risen repeatedly from the ashes of war. Having suffered fearful damage during the Swedish and Prussian occupation of 1655–56, it was again assaulted in 1794, when the Russian army massacred the population of the right-bank suburb of Praga. In 1944, after the Warsaw Uprising failed, by Adolf Hitler’s order the city was razed; the left-bank suburbs, controlled by the Germans, were emptied of their remaining population; and the buildings were systematically reduced to rubble by fire and dynamite. In 1945, however, the people of Warsaw, the Varsovians, returned, and the city resumed its role as the capital of Poland and the country’s centre of social, political, economic, scientific, and cultural life. Many of the historical streets, buildings, and churches have been restored exactly according to their original forms."
Portugal,Lisbon,PRT,Europe,"Lisbon, Portuguese Lisboa, city, port, capital of Portugal, and the centre of the Lisbon metropolitan area. Located in western Portugal on the estuary of the Tagus (Tejo) River, it is the westernmost capital city in continental Europe and serves as the country’s chief port, largest city, and commercial, political, and tourist centre. The city’s name is a modification of the ancient Olisipo (Ulyssipo), and its founding has been attributed to the legacy of Ulysses (Odysseus), the hero of Homer’s Odyssey; to Elisha, purported to have been a grandson of the Hebrew patriarch Abraham; and, more credibly, to Phoenician colonists. Lisbon owes its historical prominence to its natural harbour, one of the most beautiful in the world."
Serbia,Belgrade,SRB,Europe,"Belgrade, Serbo-Croatian Beograd (“White Fortress”), city, capital of Serbia. It lies at the confluence of the Danube and Sava rivers in the north-central part of the country. Belgrade is located at the convergence of three historically important routes of travel between Europe and the Balkans: an east-west route along the Danube River valley from Vienna to the Black Sea; another that runs westward along the valley of the Sava River toward Trieste and northern Italy; and a third running southeast along the valleys of the Morava and Vardar rivers to the Aegean Sea. To the north and west of Belgrade lies the Pannonian Basin, which includes the great grain-growing region of Vojvodina."
Singapore,Singapore,SGP,Asia,"Singapore, city, capital of the Republic of Singapore. It occupies the southern part of Singapore Island. Its strategic position on the strait between the Indian Ocean and South China Sea, complemented by its deepwater harbour, has made it the largest port in Southeast Asia and one of the world’s greatest commercial centres. The city, once a distinct entity, so came to dominate the island that the Republic of Singapore essentially became a city-state. Singapore—known variously as the “Lion City” or “Garden City,” the latter for its many parks and tree-lined streets—has also been called “instant Asia” because it offers the tourist an expeditious glimpse into the cultures brought to it by immigrants from all parts of Asia. While predominantly Chinese, it has substantial minorities of Malays and Indians."
Slovakia,Bratislava,SVK,Europe,"Bratislava, German Pressburg, Hungarian Pozsony, city, capital of Slovakia. It lies in the extreme southwestern part of the country, along the Danube where that river has cut a gorge in the Little Carpathian Mountains near the meeting point of the frontiers of Slovakia, Austria, and Hungary. Vienna is 35 miles (56 km) west. Archaeological evidence suggests prehistoric habitation of the site, which was later fortified and settled by the Celts and Romans and finally in the 8th century was inhabited by the Slavs. The community developed as a trade centre and was granted the rights of a free royal town in 1291. The first university in what was then Hungary, the Istropolitana Academy, was founded there in 1465. Bratislava served as the Hungarian capital from 1526 until 1784, when most of the middle Danube basin was in the hands of the Turks, and the Hungarian parliament continued to meet there until 1848. The Habsburg rulers were crowned kings of Hungary in the city’s Gothic Cathedral of St. Martin."
Slovenia,Ljubljana,SVN,Europe,"Ljubljana, German Laibach, Italian Lubiana, capital city and economic, political, and cultural centre of Slovenia, located on the Ljubljanica River. The city lies in central Slovenia in a natural depression surrounded by high peaks of the Julian Alps. A walled Roman encampment was built there in the mid-1st century BCE by Roman legionnaires and developed into the settlement of Emona (Iulia Aemona), though the area had been settled earlier by the Veneti, the Illyrians, and the Celts, beginning about 1000 BCE. Sitting on the route to Pannonia and commanding the Ljubljana Gap, the strategically located city was destroyed by Attila in the mid-5th century. The Slovene Slavic tribes, migrating westward, rebuilt it in the 12th century, when its name was recorded first as Laibach (1144) and then as Luvigana (1146). It gained city rights in 1220."
South Korea,Seoul,KOR,Asia,"Seoul, Korean Sŏul, formally Sŏul-t’ŭkpyŏlsi (“Special City of Seoul”), city and capital of South Korea (the Republic of Korea). It is located on the Han River (Han-gang) in the northwestern part of the country, with the city centre some 37 miles (60 km) inland from the Yellow Sea (west). Seoul is the cultural, economic, and political centre of South Korea. Except for a brief interregnum (1399–1405), Seoul was the capital of Korea from 1394 until the formal division of the country in 1948. The name itself has come to mean “capital” in the Korean language. The city was popularly called Seoul in Korean during both the Chosŏn (Yi) dynasty (1392–1910) and the period of Japanese rule (1910–45), although the official names in those periods were Hansŏng (Hanseong) and Kyŏngsŏng (Gyeongseong), respectively. The city was also popularly and, during most of the 14th century, officially known as Hanyang. Seoul became the official name of the city only with the founding of South Korea in 1948."
Spain,Madrid,ESP,Europe,"Madrid, city, capital of Spain and of Madrid provincia (province). Spain’s arts and financial centre, the city proper and province form a comunidad autónoma (autonomous community) in central Spain. Madrid’s status as the national capital reflects the centralizing policy of the 16th-century Spanish king Philip II and his successors. The choice of Madrid, however, was also the result of the city’s previous obscurity and neutrality: it was chosen because it lacked ties with an established nonroyal power rather than because of any strategic, geographic, or economic considerations. Indeed, Madrid is deficient in other characteristics that might qualify it for a leading role. It does not lie on a major river, as so many European cities do; the 16th–17th-century dramatist Lope de Vega, referring to a magnificent bridge over the distinctly unimposing waters of the Manzanares, suggested either selling the bridge or buying another river. Madrid does not possess mineral deposits or other natural wealth, nor was it ever a destination of pilgrimages, although its patron saint, San Isidro, enjoys the all-but-unique distinction of having been married to another saint. Even the city’s origins seem inappropriate for a national capital: its earliest historical role was as the site of a small Moorish fortress on a rocky outcrop—part of the northern defenses of what was then the far more important city of Toledo, located about 43 miles (70 km) south-southwest."
Sweden,Stockholm,SWE,Europe,"Stockholm, capital and largest city of Sweden. Stockholm is located at the junction of Lake Mälar (Mälaren) and Salt Bay (Saltsjön), an arm of the Baltic Sea, opposite the Gulf of Finland. The city is built upon numerous islands as well as the mainland of Uppland and Södermanland. By virtue of its location, Stockholm is regarded as one of the most beautiful capital cities in the world. Stockholm was first mentioned as a town in 1252 and was largely built by the Swedish ruler Birger Jarl. It grew rapidly as a result of a trade agreement made with the German city of Lübeck. This agreement ensured Lübeck merchants freedom from customs charges for their trade in Sweden, as well as the right to settle there. The city came to be officially regarded as the Swedish capital in 1436. After conflicts between the Danes and Swedes for many years, Stockholm was liberated from Danish rule by Gustav I Vasa in 1523."
Switzerland,Bern,CHE,Europe,"Bern, also spelled Berne, city, capital of Switzerland and of Bern canton, in the west-central part of the country. It lies along a narrow loop of the Aare River. The existence of the ancient castle of Nydegg, guarding a crossing over the Aare, probably led Berthold V, duke of Zähringen, to found Bern in 1191 as a military post on the frontier between the German-speaking Alemanni and the French-speaking inhabitants of Burgundy. After the extinction of the Zähringen dynasty (1218), Bern became a free imperial city. Gradually it extended its power by acquiring surrounding territory, becoming an independent state that in 1353 entered the Swiss Confederation, which it soon began to lead. After a devastating fire ravaged the predominantly wood-built town in 1405, Bern was rebuilt with sandstone. Although much of the surrounding metropolis has since been modernized, the centre (Old Bern) still remains intact from that period. Bern was the scene of a disputation in 1528 between Roman Catholics and Reformers that led to its acceptance and subsequent championship of Protestant doctrines. In the 18th century Bern governed 52 territories, and its patricians exercised considerable power. The whole system of Bernese patrician government was swept away by the French in 1798; it was partially revived in 1815 but ended in 1831. Bern became the political capital of the Swiss Confederation in 1848."
